label,TotalReturn%,BenchReturn%,ExcessReturn%,MaxDD%,IR,Backtest,CrossCheck
train,95.74019845427387,75.81685781478882,19.923340639485044,-31.12326317819273,0.12116303186341931,joinquant_like,
valid,65.00536486609678,-5.4912269115448,70.49659177764158,-22.331435054044512,1.2553227286614228,joinquant_like,
holdout,-11.287817270029443,1.634371280670166,-12.922188550699609,-22.72695897535305,-0.4155781822865785,joinquant_like,
test_2025,-9.696763632490734,17.663168907165527,-27.359932539656263,-33.41581103499139,-1.3757144973347992,joinquant_like,
