label,TotalReturn%,BenchReturn%,ExcessReturn%,MaxDD%,IR,Backtest,CrossCheck
train,74.56848351848151,75.81685781478882,-1.2483742963073086,-31.505952208012566,-0.04214649949869496,joinquant_like,
valid,25.712850736507463,-5.4912269115448,31.204077648052262,-24.43529830617045,0.6598681673121082,joinquant_like,
holdout,-16.70362304905213,1.634371280670166,-18.337994329722296,-27.20065430541142,-0.7460821544372289,joinquant_like,
test_2025,5.6298338257432246,17.663168907165527,-12.033335081422303,-27.206248321604065,-0.6928882973301195,joinquant_like,
