label,TotalReturn%,BenchReturn%,ExcessReturn%,MaxDD%,IR,Backtest,CrossCheck
train,112.5739707499196,75.81685781478882,36.75711293513078,-43.47404697088058,0.17135864655329738,joinquant_like,
valid,50.837540530707415,-5.4912269115448,56.328767442252214,-32.719500555957005,0.9842565138476795,joinquant_like,
holdout,-10.202969466434153,1.634371280670166,-11.837340747104319,-21.966579110585194,-0.4224905044341976,joinquant_like,
test_2025,-7.746487400636548,17.663168907165527,-25.409656307802074,-26.969823076730915,-1.737316828228008,joinquant_like,
