label,TotalReturn%,BenchReturn%,ExcessReturn%,MaxDD%,IR,Backtest,CrossCheck
train,30.720337809431552,75.81685781478882,-45.09652000535726,-45.313490985526926,-0.43977175428154947,joinquant_like,
valid,7.5799754705133005,-5.4912269115448,13.0712023820581,-29.544214288115136,0.24048954016671686,joinquant_like,
holdout,8.349423036475233,1.634371280670166,6.715051755805068,-21.279945317560454,0.33706198442473745,joinquant_like,
test_2025,24.913651436402606,17.663168907165527,7.250482529237079,-9.672348436581391,0.5499927789494937,joinquant_like,
