label,TotalReturn%,BenchReturn%,ExcessReturn%,MaxDD%,IR,Backtest,CrossCheck
train,91.8523030350355,75.81685781478882,16.035445220246693,-20.774869624102188,0.12383614243254777,joinquant_like,
valid,-3.8181030624500845,-5.4912269115448,1.6731238490947153,-47.15629464263253,0.006311509971935801,joinquant_like,
holdout,10.047077092390676,1.634371280670166,8.41270581172051,-15.273159774849976,0.2940333150787518,joinquant_like,
test_2025,3.8391481774290304,17.663168907165527,-13.824020729736496,-21.34352079859243,-0.9394754594471727,joinquant_like,
