label,TotalReturn%,BenchReturn%,ExcessReturn%,MaxDD%,IR,Backtest,CrossCheck
train,89.19196857404496,75.81685781478882,13.375110759256149,-41.43021008690341,0.11411808697765256,joinquant_like,
valid,16.250941581654722,-5.4912269115448,21.74216849319952,-42.62527259745017,0.4469213824291396,joinquant_like,
holdout,17.30881750886859,1.634371280670166,15.674446228198423,-16.454189960479216,0.6469573588476353,joinquant_like,
test_2025,7.0971076796062516,17.663168907165527,-10.566061227559276,-14.702391502927458,-0.7586751668628293,joinquant_like,
