label,TotalReturn%,BenchReturn%,ExcessReturn%,MaxDD%,IR,Backtest,CrossCheck
train,137.57160841290616,75.81685781478882,61.75475059811735,-26.572617333172886,0.29681356555139254,joinquant_like,
valid,63.38681972253259,-5.4912269115448,68.87804663407739,-19.738679688560367,1.2107491651173512,joinquant_like,
holdout,-0.5597965007624772,1.634371280670166,-2.1941677814326432,-14.349682482946802,-0.03408918603540048,joinquant_like,
test_2025,-3.1916842215633623,17.663168907165527,-20.85485312872889,-26.099374749605463,-1.0047634992464918,joinquant_like,
