label,TotalReturn%,BenchReturn%,ExcessReturn%,MaxDD%,IR,Backtest,CrossCheck
train,78.15182101907388,75.81685781478882,2.3349632042850565,-29.7136532470781,0.05540336962299494,joinquant_like,
valid,47.92906126275716,-5.4912269115448,53.42028817430196,-20.365604354013968,0.9930336410639674,joinquant_like,
holdout,3.9111213353171914,1.634371280670166,2.2767500546470254,-15.995707381189096,0.0874304725473812,joinquant_like,
test_2025,-2.9235459145791065,17.663168907165527,-20.586714821744636,-24.969740515880556,-1.5609682733743413,joinquant_like,
