label,TotalReturn%,BenchReturn%,ExcessReturn%,MaxDD%,IR,Backtest,CrossCheck
train,-12.594443101370734,75.81685781478882,-88.41130091615955,-81.01938093501771,-0.8405217651046811,joinquant_like,
valid,-8.041456493077115,-5.4912269115448,-2.550229581532315,-29.887035091082716,-0.016696881463284702,joinquant_like,
holdout,30.125323869453837,1.634371280670166,28.49095258878367,-13.620171117282975,1.033023100538568,joinquant_like,
test_2025,23.284904390645234,17.663168907165527,5.621735483479706,-15.697928769968206,0.41479117633934137,joinquant_like,
