label,TotalReturn%,BenchReturn%,ExcessReturn%,MaxDD%,IR,Backtest,CrossCheck
train,79.34753639406776,75.81685781478882,3.530678579278934,-42.05159868506766,0.06468604379567766,joinquant_like,
valid,27.767969702228278,-5.4912269115448,33.25919661377308,-43.25477400217852,0.6698241961251373,joinquant_like,
holdout,-0.1951022058526264,1.634371280670166,-1.8294734865227924,-25.62333790685973,-0.06865325238726704,joinquant_like,
test_2025,9.119300130383689,17.663168907165527,-8.543868776781839,-19.94505815034209,-0.6163516283622476,joinquant_like,
