label,TotalReturn%,BenchReturn%,ExcessReturn%,MaxDD%,IR,Backtest,CrossCheck
train,111.47549870820353,75.81685781478882,35.658640893414706,-37.785045635670954,0.18011442105170158,joinquant_like,
valid,59.54193852484022,-5.4912269115448,65.03316543638502,-19.97775707858218,1.2522893893270084,joinquant_like,
holdout,7.036891367583764,1.634371280670166,5.402520086913598,-9.587223824702363,0.2139410368296982,joinquant_like,
test_2025,2.442526422480462,17.663168907165527,-15.220642484685065,-27.819643385585515,-0.9962874847484273,joinquant_like,
