label,TotalReturn%,BenchReturn%,ExcessReturn%,MaxDD%,IR,Backtest,CrossCheck
train,-8.549916621745856,75.81685781478882,-84.36677443653467,-73.21208133811506,-0.8456349755611378,joinquant_like,
valid,42.9690905924768,-5.4912269115448,48.4603175040216,-27.97429173783219,0.6566433952451114,joinquant_like,
holdout,-4.066494314803181,1.634371280670166,-5.700865595473347,-22.535280766138442,-0.18061166776611395,joinquant_like,
test_2025,18.226402070150407,17.663168907165527,0.5632331629848775,-11.575995150505547,0.07664160107105827,joinquant_like,
