label,TotalReturn%,BenchReturn%,ExcessReturn%,MaxDD%,IR,Backtest,CrossCheck
train,147.36425046006292,75.81685781478882,71.5473926452741,-32.22289291920293,0.3239316822797676,joinquant_like,
valid,59.61524952872526,-5.4912269115448,65.10647644027006,-17.03033394980973,1.1785362049025971,joinquant_like,
holdout,-4.5772138804363705,1.634371280670166,-6.2115851611065365,-19.12061972104532,-0.20167182602305195,joinquant_like,
test_2025,-5.84800983536462,17.663168907165527,-23.51117874253015,-29.039109991762757,-1.1660055221852061,joinquant_like,
