label,TotalReturn%,BenchReturn%,ExcessReturn%,MaxDD%,IR,Backtest,CrossCheck
train,120.01093709641762,75.81685781478882,44.194079281628795,-26.14761795878072,0.2223364965372485,joinquant_like,
valid,51.77117694712714,-5.4912269115448,57.26240385867194,-25.6597985677795,1.1018482817512454,joinquant_like,
holdout,7.492307373652296,1.634371280670166,5.85793609298213,-10.265082033161733,0.26930887581367335,joinquant_like,
test_2025,-4.869542624216782,17.663168907165527,-22.53271153138231,-31.312230339258374,-1.0881346401588632,joinquant_like,
