label,TotalReturn%,BenchReturn%,ExcessReturn%,MaxDD%,IR,Backtest,CrossCheck
train,151.48969018931697,75.81685781478882,75.67283237452816,-26.365578685467362,0.35384021264354354,joinquant_like,
valid,75.25078707071738,-5.4912269115448,80.74201398226218,-15.290923846149063,1.410649789261698,joinquant_like,
holdout,3.361319429592391,1.634371280670166,1.726948148922225,-14.341205989064921,0.12121731964498719,joinquant_like,
test_2025,-7.7063409460322525,17.663168907165527,-25.36950985319778,-30.634573382193196,-1.240918597914864,joinquant_like,
