label,TotalReturn%,BenchReturn%,ExcessReturn%,MaxDD%,IR,Backtest,CrossCheck
train,84.88641427327693,75.81685781478882,9.069556458488105,-64.75684959430691,0.07445950343331989,joinquant_like,
valid,58.732665172381246,-5.4912269115448,64.22389208392605,-24.066733058494773,1.0911049396626291,joinquant_like,
holdout,-2.7872864059409586,1.634371280670166,-4.421657686611125,-21.041746108111514,-0.12122156289959762,joinquant_like,
test_2025,-4.543026666495464,17.663168907165527,-22.20619557366099,-25.041826745662277,-1.523244486294701,joinquant_like,
