label,TotalReturn%,BenchReturn%,ExcessReturn%,MaxDD%,IR,Backtest,CrossCheck
train,137.9031116952369,75.81685781478882,62.08625388044808,-28.67156966426243,0.32283224088411916,joinquant_like,
valid,68.39205550800493,-5.4912269115448,73.88328241954973,-21.453274682270905,1.2940146084209927,joinquant_like,
holdout,-1.5506631652341896,1.634371280670166,-3.1850344459043556,-16.20575012012031,-0.04599121933638702,joinquant_like,
test_2025,-9.703248087070726,17.663168907165527,-27.366416994236253,-33.15411215030182,-1.3290907570807995,joinquant_like,
