label,TotalReturn%,BenchReturn%,ExcessReturn%,MaxDD%,IR,Backtest,CrossCheck
train,77.65227825242394,75.81685781478882,1.8354204376351158,-32.300663323709614,-0.028466658865920955,joinquant_like,
valid,-11.566767464825967,-5.4912269115448,-6.075540553281167,-27.676404759079134,-0.19041018115440295,joinquant_like,
holdout,-3.9084497566267307,1.634371280670166,-5.542821037296896,-16.240508444271605,-0.3268871537570655,joinquant_like,
test_2025,7.317142664406284,17.663168907165527,-10.346026242759244,-16.29906722364911,-0.9837428982932808,joinquant_like,
