label,TotalReturn%,BenchReturn%,ExcessReturn%,MaxDD%,IR,Backtest,CrossCheck
train,1.6017591091262773,75.81685781478882,-74.21509870566254,-75.23778955508104,-0.5854211338361562,joinquant_like,
valid,-13.983145093000326,-5.4912269115448,-8.491918181455526,-28.7910271335152,-0.08839913746841219,joinquant_like,
holdout,4.246323487370773,1.634371280670166,2.6119522067006073,-18.987680549973174,0.1503129234245661,joinquant_like,
test_2025,44.360034193087316,17.663168907165527,26.69686528592179,-11.500369008471424,1.3981129351595292,joinquant_like,
