label,TotalReturn%,BenchReturn%,ExcessReturn%,MaxDD%,IR,Backtest,CrossCheck
train,97.92643229516105,75.81685781478882,22.10957448037223,-29.468769221846046,0.1667284775112412,joinquant_like,
valid,11.586501146329287,-5.4912269115448,17.077728057874086,-46.99593793562538,0.3239411595014119,joinquant_like,
holdout,6.673918561288628,1.634371280670166,5.039547280618462,-22.957568656516038,0.17097391213557778,joinquant_like,
test_2025,-1.6074582467371146,17.663168907165527,-19.27062715390264,-20.279555435597953,-1.4124277580576383,joinquant_like,
