label,TotalReturn%,BenchReturn%,ExcessReturn%,MaxDD%,IR,Backtest,CrossCheck
train,96.1189049238897,75.81685781478882,20.302047109100883,-26.681716544084633,0.1761511171657001,joinquant_like,
valid,34.08189484117741,-5.4912269115448,39.57312175272221,-31.504771597633695,0.7534547318017656,joinquant_like,
holdout,20.736750691244588,1.634371280670166,19.10237941057442,-5.524191400527623,0.773210550895595,joinquant_like,
test_2025,2.8715861937258502,17.663168907165527,-14.791582713439677,-20.982675196237423,-1.179737687981511,joinquant_like,
