label,TotalReturn%,BenchReturn%,ExcessReturn%,MaxDD%,IR,Backtest,CrossCheck
train,53.96030096750957,75.81685781478882,-21.85655684727925,-40.70193566567444,-0.21295242072043624,joinquant_like,
valid,13.204510187111552,-5.4912269115448,18.695737098656352,-15.168816818977348,0.3856125949081985,joinquant_like,
holdout,15.586558886809332,1.634371280670166,13.952187606139166,-9.284621538427329,0.6624687170758936,joinquant_like,
test_2025,16.133140155158145,17.663168907165527,-1.530028752007384,-8.57322149863392,-0.12935784769859726,joinquant_like,
