label,TotalReturn%,BenchReturn%,ExcessReturn%,MaxDD%,IR,Backtest,CrossCheck
train,17.747829507970025,75.81685781478882,-58.069028306818794,-59.08967576812145,-0.43696488429945596,joinquant_like,
valid,-30.239600529076192,-5.4912269115448,-24.748373617531392,-56.609090535414374,-0.7833718786037901,joinquant_like,
holdout,1.342869918607259,1.634371280670166,-0.291501362062907,-14.723044215911907,0.012168819276002938,joinquant_like,
test_2025,19.237714097835678,17.663168907165527,1.5745451906701513,-12.666616623698756,0.12427878148932833,joinquant_like,
