label,TotalReturn%,BenchReturn%,ExcessReturn%,MaxDD%,IR,Backtest,CrossCheck
train,16.130295454835508,75.81685781478882,-59.686562359953314,-57.900314004822384,-0.5097875862852526,joinquant_like,
valid,10.836127796153061,-5.4912269115448,16.32735470769786,-21.61334397608943,0.3085475608621848,joinquant_like,
holdout,-1.3085507991760892,1.634371280670166,-2.942922079846255,-20.369222577640155,-0.04279554872698316,joinquant_like,
test_2025,31.5843595621341,17.663168907165527,13.921190654968573,-10.213417945947745,0.8200668985993225,joinquant_like,
