label,TotalReturn%,BenchReturn%,ExcessReturn%,MaxDD%,IR,Backtest,CrossCheck
train,13.94745383449132,75.81685781478882,-61.8694039802975,-49.61385323335744,-0.5338477372461604,joinquant_like,
valid,36.100677660442535,-5.4912269115448,41.591904571987335,-19.26014657841141,0.9328427633881353,joinquant_like,
holdout,-7.692616148772046,1.634371280670166,-9.326987429442212,-15.20696635509664,-0.47184983113557905,joinquant_like,
test_2025,15.105239662048419,17.663168907165527,-2.5579292451171076,-12.534977085665133,-0.1758540310274022,joinquant_like,
