label,TotalReturn%,BenchReturn%,ExcessReturn%,MaxDD%,IR,Backtest,CrossCheck
train,73.64243381816354,75.81685781478882,-2.1744239966252854,-40.59590530113517,-0.08486472857436819,joinquant_like,
valid,16.271946733602483,-5.4912269115448,21.763173645147283,-18.55705970976218,0.4039157487401973,joinquant_like,
holdout,19.399317626649882,1.634371280670166,17.764946345979716,-10.387737076849513,0.7541404595724769,joinquant_like,
test_2025,8.854963138822258,17.663168907165527,-8.808205768343269,-10.22915545798938,-0.7584710172339549,joinquant_like,
