label,TotalReturn%,BenchReturn%,ExcessReturn%,MaxDD%,IR,Backtest,CrossCheck
train,-28.48531645882386,75.81685781478882,-104.30217427361268,-101.13383764535709,-0.9752360195414015,joinquant_like,
valid,-8.718724251421827,-5.4912269115448,-3.227497339877028,-51.17756084551307,0.00018120631021490834,joinquant_like,
holdout,-2.96611651907962,1.634371280670166,-4.600487799749786,-26.75771851762808,-0.054341115001258676,joinquant_like,
test_2025,15.598460007300918,17.663168907165527,-2.064708899864609,-15.909552769176127,-0.0013251605188977602,joinquant_like,
