label,TotalReturn%,BenchReturn%,ExcessReturn%,MaxDD%,IR,Backtest,CrossCheck
train,87.21481037324597,75.81685781478882,11.397952558457147,-26.590004056706494,0.03738176729843294,joinquant_like,
valid,69.85462650397041,-5.4912269115448,75.34585341551521,-11.087032585897017,1.523320419281019,joinquant_like,
holdout,8.635731871278306,1.634371280670166,7.001360590608141,-15.660524591808478,0.3417421802213276,joinquant_like,
test_2025,9.69981523250567,17.663168907165527,-7.9633536746598566,-12.539056000263649,-0.7032222148047428,joinquant_like,
