label,TotalReturn%,BenchReturn%,ExcessReturn%,MaxDD%,IR,Backtest,CrossCheck
train,-16.58424120425186,75.81685781478882,-92.40109901904067,-87.4923859949016,-0.7946492084455179,joinquant_like,
valid,37.66480890617336,-5.4912269115448,43.15603581771816,-21.62680843764736,0.6152378210109907,joinquant_like,
holdout,8.140423307981258,1.634371280670166,6.506052027311093,-25.926321037849554,0.2399490255668389,joinquant_like,
test_2025,25.400013260635546,17.663168907165527,7.736844353470018,-13.971569449441123,0.5136107130055557,joinquant_like,
